,Logistic Regression,,,,,,Decision Tree,,,,,,Random Forest,,,,,,Naïve Bayes(Gaussian),,,,,,Support Vector Machine,,,,,,K Nearest Neighbors,,,,
,0.854030501,0.866847826,0.844202899,0.85326087,0.858695652,,0.749455338,0.766304348,0.822463768,0.815217391,0.804347826,,0.880174292,0.880434783,0.844202899,0.858695652,0.891304348,,0.8583878,0.836956522,0.855072464,0.858695652,0.891304348,,0.810457516,0.845108696,0.81884058,0.826086957,0.793478261,,0.854030501,0.866847826,0.836956522,0.875,0.847826087
,0.864923747,0.855978261,0.876811594,0.880434783,0.858695652,,0.816993464,0.779891304,0.760869565,0.820652174,0.760869565,,0.880174292,0.872282609,0.876811594,0.869565217,0.804347826,,0.851851852,0.839673913,0.865942029,0.89673913,0.869565217,,0.801742919,0.79076087,0.833333333,0.815217391,0.847826087,,0.834422658,0.864130435,0.851449275,0.842391304,0.869565217
,0.875816993,0.888586957,0.865942029,0.858695652,0.891304348,,0.775599129,0.798913043,0.807971014,0.766304348,0.793478261,,0.862745098,0.877717391,0.876811594,0.864130435,0.923913043,,0.838779956,0.836956522,0.869565217,0.858695652,0.858695652,,0.808278867,0.8125,0.826086957,0.831521739,0.880434783,,0.838779956,0.836956522,0.855072464,0.875,0.826086957
,0.873638344,0.85326087,0.844202899,0.85326087,0.869565217,,0.784313725,0.763586957,0.807971014,0.782608696,0.836956522,,0.832244009,0.869565217,0.847826087,0.858695652,0.902173913,,0.873638344,0.850543478,0.851449275,0.864130435,0.869565217,,0.823529412,0.823369565,0.844202899,0.831521739,0.913043478,,0.830065359,0.847826087,0.869565217,0.864130435,0.923913043
,0.8583878,0.883152174,0.880434783,0.885869565,0.793478261,,0.77124183,0.774456522,0.815217391,0.782608696,0.760869565,,0.869281046,0.864130435,0.898550725,0.875,0.858695652,,0.880174292,0.869565217,0.822463768,0.798913043,0.880434783,,0.810457516,0.826086957,0.829710145,0.804347826,0.804347826,,0.854030501,0.875,0.84057971,0.804347826,0.815217391
,0.860566449,0.850543478,0.847826087,0.864130435,0.880434783,,0.764705882,0.79076087,0.782608696,0.75,0.804347826,,0.8583878,0.869565217,0.865942029,0.858695652,0.836956522,,0.862745098,0.855978261,0.869565217,0.836956522,0.847826087,,0.797385621,0.807065217,0.836956522,0.809782609,0.847826087,,0.849673203,0.864130435,0.851449275,0.864130435,0.891304348
,0.882352941,0.880434783,0.865942029,0.875,0.880434783,,0.751633987,0.804347826,0.775362319,0.77173913,0.836956522,,0.888888889,0.861413043,0.869565217,0.880434783,0.836956522,,0.85620915,0.883152174,0.873188406,0.820652174,0.880434783,,0.830065359,0.866847826,0.855072464,0.831521739,0.869565217,,0.862745098,0.869565217,0.858695652,0.831521739,0.913043478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Deviations:,0.012332237,0.017149776,0.017232838,0.019017778,0.035259732,,0.019274959,0.020757638,0.021742211,0.028088856,0.043238581,,0.014601959,0.012463659,0.017626333,0.020614487,0.037398835,,0.012001271,0.013235699,0.016910343,0.021712495,0.0362497,,0.014923804,0.017682528,0.017522673,0.020832931,0.032795972,,0.015171515,0.015761443,0.017708975,0.026905059,0.036017482
